Protein stable ID	Gene name
ENSMUSP00000130080	Rbmy
ENSMUSP00000097930	Rbmy
ENSMUSP00000140037	Rbmyf2
ENSMUSP00000140936	Rbmyf2
ENSMUSP00000136632	Rbmyf2
	Gm8502
	Gm8506
ENSMUSP00000140575	Rbmyf3
ENSMUSP00000129935	Rbmyf3
	Gm8510
	Gm28819
	
	
	
	
	
	
	
	Gm28840
	Gm28840
	Gm28840
	Gm28840
	Gm28840
	Gm28840
	Gm28840
	Gm28840
	Gm28840
	Gm29179
	
	
	
	
	
	
	
	
	
	Gm29178
	
	
	
	
	
	
	
	
	
	Gm28969
	
	
	
	
	
	
	
	
	
	
	Gm28677
	
	
	
	
	
	
	
	
	
	
	
	Gm29617
	
	
	
	
	
	
	
	
	
	
	
	Gm20803
	Gm20879
	Gm28835
	
	
	Gm29624
	
	
	Gm28253
	
	Gm29586
	
	
	
	
	
	
	
	Gm28136
	
	
	
	
	
	
	
	
	
	Gm29377
	
	
	
	
	
	
	
	Gm28749
	
	
	
	
	
	
	
	
	Gm29000
	Orly
	Orly
	Orly
	Orly
	Orly
	Orly
	Orly
	Gm29633
	
	
	
	
	
	
	
	Gm29218
	
	
	
	
	
	
	
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21679
	Gm21064
	Gm21064
	4921509O09Rik
	
	Gm29048
	
	Tspy-ps
	Tspy-ps
	Tspy-ps
	Gm20781
ENSMUSP00000136781	Rbm31y
	Gm37325
	Gm20833
	Gm37865
	Gm36941
	Gm36941
	Gm37937
ENSMUSP00000139540	Gm20772
ENSMUSP00000136638	Gm20831
ENSMUSP00000142081	Gm20831
	Gm37286
	Gm38028
ENSMUSP00000139883	Ssty1
ENSMUSP00000137527	Ssty1
	Gm38072
	Gm20851
	Gm30312
	Gm37433
	Gm37473
	Gm37656
	Gm38127
	Gm30638
	
	Gm21904
	Srsy
	Gm21764
	
	Gm34015
ENSMUSP00000139965	Gm20877
ENSMUSP00000097682	Gm20877
	Gm33191
	Gm38003
	Gm38003
	Gm38003
	
	Gm21379
	Gm36928
ENSMUSP00000142185	Gm20807
	Gm38084
	Gm37231
	Gm37231
	Gm37252
ENSMUSP00000141432	Gm21440
ENSMUSP00000136379	Gm21454
ENSMUSP00000141810	Gm21454
	Gm37147
	Gm38159
	Gm38159
	Gm37870
	Gm37870
	Gm37870
	Gm37378
	Gm37378
	Gm36398
	Gm37441
	Gm37561
	Gm36728
	Gm32295
	Gm20836
	Gm37263
	
	
	
	Gm28682
	Gm28569
	Gm28681
	Gm28684
	Gm28684
	Gm21316
	Gm21923
	Gm28683
	Gm28680
	Gm28679
