0,1
Dspp,Itga5
Dspp,Itga2b
Dspp,Rtn4r
Dspp,Ldlr
Dspp,Scarb1
Dspp,Flrt2
Dspp,Selp
Dspp,Itgb2
Dspp,Itga3
Dspp,Cd79a
Dspp,Itgb3
Fbn1,Itgb1
Fbn1,Cd44
Fbn1,Cd93
Fbn1,Itga2b
Fbn1,Itga2
Fbn1,Itga1
Fbn1,Mag
Agrn,Itgav
Agrn,Itgb1
Agrn,Cd44
Agrn,Cd93
Agrn,Gpc1
Agrn,Notch1
Agrn,Notch3
Agrn,Notch4
Agrn,Itgb5
Agrn,Col13a1
Agrn,Itga2b
Agrn,Itga2
Agrn,Itga1
Agrn,Mag
Agrn,Ddr2
Shank3,Itgav
Shank3,Itgb1
Shank3,Cd44
Shank3,Cd93
Shank3,Acvr2a
Shank3,Gpc1
Shank3,Notch1
Shank3,Notch3
Shank3,Lrp4
Shank3,Notch2
Shank3,Notch4
Shank3,Itgb5
Shank3,Col13a1
Shank3,Itga2b
Shank3,Itga9
Shank3,Itga2
Shank3,Itga1
Shank3,Mag
Shank3,Plxna1
Shank3,Musk
Shank3,Ddr2
Shank3,Itgb2
Shank3,Gpc4
Shank3,Atp1a3
Adam3,Egfr
Adam3,Lrp6
Adam3,Lrp1
Adam3,Itgb1
Adam3,Tlr4
Adam3,Selp
Adam3,Itgb2
Col18a1,Itgav
Col18a1,Itgb1
Col18a1,Cd44
Col18a1,Cd93
Col18a1,Notch1
Col18a1,Col13a1
Col18a1,Itga2b
Col18a1,Itga2
Col18a1,Itga1
Col18a1,Mag
Col18a1,Ddr2
Mst1,Itgb1
Sema4c,Lrp6
Sema4c,Itgb2
Col4a3,Cd93
Col4a3,Itga1
Col4a3,Mag
Col4a3,Ddr2
Col8a1,Itgb1
Col8a1,Cd93
Col8a1,Mag
Col8a1,Ddr2
Rtn3,Lrp1
Rtn3,Selp
Hspg2,Itgav
Hspg2,Cd44
Hspg2,Cd93
Hspg2,Itga7
Hspg2,Itgb4
Hspg2,Itga2b
Hspg2,Itga2
Hspg2,Itga1
Hspg2,Mag
Hspg2,Bcam
Cubn,Lrp1
Cubn,Itgav
Cubn,Itgb1
Cubn,Cd44
Cubn,Cd93
Cubn,Cd36
Cubn,Itga5
Cubn,Itga2b
Cubn,Itga2
Cubn,Mag
Cubn,Ldlr
Cubn,Flrt2
Cubn,Selp
Cubn,Itga3
Cubn,Cd79a
Cubn,Itgb3
Cubn,Itgb6
Colq,Itgb1
Colq,Cd93
Thbs2,Egfr
Thbs2,Lrp6
Thbs2,Lrp1
Thbs2,Itgav
Thbs2,Itgb1
Thbs2,Cd44
Thbs2,Cd93
Thbs2,Lrp2
Thbs2,Notch1
Thbs2,Cd47
Thbs2,Notch2
Thbs2,Tlr4
Thbs2,Itga5
Thbs2,Itga2b
Thbs2,Selp
Thbs2,Itga3
Thbs2,Itgb3
Col4a6,Itgav
Col4a6,Cd44
Col4a6,Itga2b
Col4a6,Itga2
Col4a6,Itga1
Col4a6,Mag
Col4a6,Ddr2
Col4a5,Cd93
Col4a5,Itga2
Col4a5,Itga1
Col4a5,Mag
Col4a5,Ddr2
Sema6b,Itgav
Sema6b,Itgb1
Sema6b,Cd93
Sema6b,Acvr2a
Sema6b,Ret
Sema6b,Itgb5
Adamts3,Egfr
Adamts3,Lrp6
Adamts3,Lrp1
Adamts3,Itgav
Adamts3,Itgb1
Adamts3,Cd44
Adamts3,Cd93
Adamts3,Notch1
Adamts3,Nrp1
Adamts3,Notch2
Adamts3,Itga2b
Adamts3,Selp
Adamts3,Itgb2
Adamts3,Sdc4
Adamts3,Itgb3
