"","ligand","receptor"
"844","GDF2","ACVR1"
"845","GDF2","ACVR2A"
"846","GDF2","ACVR2B"
"847","GDF2","ACVRL1"
"848","GDF2","BMPR2"
"849","GDF2","ENG"
"850","GDF5","ACVR1"
"851","GDF5","ACVR2A"
"852","GDF5","ACVR2B"
"853","GDF5","BMPR1A"
"854","GDF5","BMPR1B"
"855","GDF5","BMPR2"
"856","GDF5","ROR2"
"857","GDF6","BMPR1A"
"858","GDF6","BMPR1B"
"859","GDF6","BMPR2"
"860","GDF7","ACVR2A"
"861","GDF7","BMPR1A"
"862","GDF7","BMPR2"
"863","GDF9","ACVR2A"
"864","GDF9","BMPR1A"
"865","GDF9","BMPR1B"
"866","GDF9","BMPR2"
"867","GDF9","FXYD6"
"868","GDF9","ORAI2"
"869","GDF9","TGFBR1"
"870","GDNF","GFRA1"
"871","GDNF","GFRA2"
"872","GDNF","RET"
"873","GH1","GHR"
"874","GH1","PRLR"
"875","GH2","GHR"
"876","GHRH","GHRHR"
"877","GHRH","VIPR1"
"878","GHRL","GHRHR"
"879","GHRL","GHSR"
"880","GHRL","GPR39"
"881","GHRL","MLNR"
"882","GIP","DPP4"
"883","GIP","GIPR"
"884","GNAI2","ADCY1"
"885","GNAI2","ADORA1"
"886","GNAI2","ADRA2A"
"887","GNAI2","ADRA2B"
"888","GNAI2","AGTR2"
"889","GNAI2","C5AR1"
"890","GNAI2","CAV1"
"891","GNAI2","CCR5"
"892","GNAI2","CHRM1"
"893","GNAI2","CNR1"
"894","GNAI2","CXCR1"
