From	To	
F1D8T1   NR2A1	
F1T097   RXRG	
F2YGU2   NR2C2	
G4XH65   ESR1	
G8H6I3   EECP	
I3WAC9   INS	
K9JA46   EL52	
L7RT22   ITGB5	
O00170   AIP	
O00300   TNFRSF11B	
O00515   LAD1	
O00555   CACNA1A	
O00585   CCL21	
O00587   MFNG	
O00590   ACKR2	
O00602   FCN1	
O00622   CCN1	
O00626   CCL22	
O00755   WNT7A	
O14495   PLPP3	
O14656   TOR1A	
O14672   ADAM10	
O14763   TNFRSF10B	
O14786   NRP1	
O14788   TNFSF11	
O15031   PLXNB2	
O15123   ANGPT2	
O15162   PLSCR1	
O15197   EPHB6	
O15218   GPR182	
O15230   LAMA5	
O15232   MATN3	
O18924   PPARG	
O19617   HLA-C	
O43157   PLXNB1	
O43294   TGFB1I1	
O43508   TNFSF12	
O43612   HCRT	
O43852   CALU	
O43914   TYROBP	
O60383   GDF9	
O60462   NRP2	
O60882   MMP20	
O60895   RAMP2	
O75051   PLXNA2	
O75326   SEMA7A	
O75487   GPC4	
O75718   CRTAP	
O75829   CNMD	
O76061   STC2	
O76062   TM7SF2	
O94813   SLIT2	
O95407   TNFRSF6B	
O95631   NTN1	
O95944   NCR2	
O95967   EFEMP2	
O95972   BMP15	
O95994   AGR2	
P00533   EGFR	
P00734   F2	
P00738   HP	
P00746   CFD	
P00747   PLG	
P00749   PLAU	
P00750   PLAT	
P00751   CFB	
P01008   SERPINC1	
P01011   SERPINA3	
P01023   A2M	
P01024   C3	
P01031   C5	
P01034   CST3	
P01042   KNG1	
P01130   LDLR	
P01133   EGF	
P01135   TGFA	
P01137   TGFB1	
P01138   NGF	
P01178   OXT	
P01185   AVP	
P01189   POMC	
P01222   TSHB	
P01225   FSHB	
P01258   CALCA	
P01275   GCG	
P01344   IGF2	
P01579   IFNG	
P01584   IL1B	
P01730   CD4	
P01732   CD8A	
P01833   PIGR	
P01903   HLA-DRA	
P01906   HLA-DQA2	
P01909   HLA-DQA1	
P01920   HLA-DQB1	
P02452   COL1A1	
P02462   COL4A1	
